;notas_gerais;sexo;cor;renda;colegio_do_ensino_medio;familiar_ensino_superior
5723;16.7;M;parda;entre 1.5 e 3 salarios;todo em escola publica;A
5724;31.6;M;nsr;entre 3 e 4.5 salarios;todo em escola privada;A
5725;26.8;M;branca;entre 1.5 e 3 salarios;maior parte em escola publica;A
5726;26.9;M;branca;menor que 1.5 salarios;todo em escola publica;A
5727;38.5;M;preta;entre 10 e 30 salarios;todo em escola privada;A
5728;22.6;M;parda;entre 3 e 4.5 salarios;maior parte em escola publica;A
5729;43.6;M;parda;entre 3 e 4.5 salarios;todo em escola privada;A
5730;41.0;M;preta;entre 3 e 4.5 salarios;todo em escola privada;A
5731;24.2;M;branca;maior que 30 salarios;todo em escola privada;A
5732;36.1;M;parda;entre 6 e 3 salarios;todo em escola publica;A
5733;28.9;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5734;47.4;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5735;27.8;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5736;22.3;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5737;41.4;M;branca;entre 10 e 30 salarios;todo em escola publica;A
5738;33.1;M;branca;maior que 30 salarios;todo em escola privada;A
5739;0.0;M;branca;menor que 1.5 salarios;todo em escola publica;A
5740;43.6;M;parda;entre 10 e 30 salarios;todo em escola privada;A
5741;38.0;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5742;37.1;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5743;37.1;M;branca;entre 4.5 e 6 salarios;todo em escola privada;A
5744;24.2;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5745;36.2;M;branca;entre 10 e 30 salarios;todo em escola publica;A
5746;51.0;M;parda;entre 10 e 30 salarios;todo em escola privada;A
5747;29.7;M;parda;entre 6 e 3 salarios;maior parte em escola privada;A
5748;14.0;M;indigena;entre 4.5 e 6 salarios;todo em escola privada;A
5749;35.3;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5750;18.6;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5751;26.0;M;preta;entre 6 e 3 salarios;todo em escola publica;A
5752;14.9;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5753;18.9;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5754;20.3;M;parda;menor que 1.5 salarios;todo em escola publica;A
5755;35.8;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5756;26.4;M;parda;entre 1.5 e 3 salarios;maior parte em escola privada;A
5757;23.0;M;branca;entre 6 e 3 salarios;todo em escola publica;A
5758;26.9;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5759;26.9;M;parda;entre 10 e 30 salarios;todo em escola privada;A
5760;25.6;M;branca;entre 1.5 e 3 salarios;maior parte em escola privada;A
5761;61.1;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5762;20.1;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5763;26.8;M;parda;entre 6 e 3 salarios;todo em escola privada;A
5764;21.7;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5765;23.0;M;branca;entre 6 e 3 salarios;todo em escola publica;A
5766;42.4;M;branca;entre 4.5 e 6 salarios;todo em escola privada;A
5767;41.3;M;preta;entre 4.5 e 6 salarios;todo em escola publica;A
5768;47.5;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
5769;35.3;M;branca;menor que 1.5 salarios;todo em escola publica;A
5770;35.3;M;branca;menor que 1.5 salarios;todo em escola publica;A
5771;26.9;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
5772;13.0;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5773;43.5;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
5774;18.7;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
5775;40.8;M;parda;menor que 1.5 salarios;todo em escola publica;A
5776;17.9;M;parda;entre 10 e 30 salarios;todo em escola privada;A
5777;45.5;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5778;42.4;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5779;19.4;M;parda;entre 4.5 e 6 salarios;todo em escola privada;A
5780;38.9;M;branca;entre 4.5 e 6 salarios;todo em escola privada;A
5781;30.6;M;parda;menor que 1.5 salarios;todo em escola publica;A
5782;39.2;M;parda;entre 6 e 3 salarios;todo em escola privada;A
5783;49.1;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
5784;23.5;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5785;32.5;M;preta;entre 4.5 e 6 salarios;maior parte em escola privada;A
5786;48.0;M;parda;entre 10 e 30 salarios;todo em escola privada;A
5787;29.2;M;parda;menor que 1.5 salarios;todo em escola publica;A
5788;24.0;M;branca;menor que 1.5 salarios;todo em escola privada;A
5789;50.7;M;nsr;entre 10 e 30 salarios;todo em escola privada;A
5790;36.0;M;parda;entre 10 e 30 salarios;todo em escola privada;A
5791;41.4;M;nsr;entre 6 e 3 salarios;todo em escola privada;A
5792;50.5;M;parda;menor que 1.5 salarios;todo em escola privada;A
5793;43.3;M;branca;entre 1.5 e 3 salarios;todo em escola privada;A
5794;32.9;M;branca;menor que 1.5 salarios;todo em escola publica;A
5795;46.6;M;branca;entre 1.5 e 3 salarios;maior parte em escola privada;A
5796;34.3;M;parda;entre 1.5 e 3 salarios;todo em escola privada;A
5797;34.1;M;preta;entre 4.5 e 6 salarios;todo em escola privada;A
5798;46.7;M;parda;entre 1.5 e 3 salarios;todo em escola privada;A
5799;47.9;M;parda;maior que 30 salarios;todo em escola privada;A
5800;56.7;M;preta;entre 4.5 e 6 salarios;todo em escola privada;A
5801;30.7;M;branca;maior que 30 salarios;todo em escola privada;A
5802;56.4;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5803;23.1;M;parda;entre 1.5 e 3 salarios;todo em escola publica;A
5804;36.0;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
5805;16.1;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5806;40.9;M;preta;entre 3 e 4.5 salarios;todo em escola privada;A
5807;35.7;M;branca;entre 4.5 e 6 salarios;maior parte em escola publica;A
5808;38.6;M;parda;entre 4.5 e 6 salarios;maior parte em escola privada;A
5809;35.7;M;parda;entre 1.5 e 3 salarios;todo em escola publica;A
5810;37.7;M;branca;menor que 1.5 salarios;todo em escola publica;A
5811;33.3;M;parda;entre 6 e 3 salarios;todo em escola publica;A
5812;40.1;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5813;32.8;M;parda;entre 1.5 e 3 salarios;todo em escola publica;A
5814;55.8;M;parda;entre 3 e 4.5 salarios;todo em escola privada;A
5815;34.5;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5816;29.7;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5817;36.1;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5818;23.4;M;preta;entre 1.5 e 3 salarios;maior parte em escola publica;A
5819;31.9;M;branca;entre 6 e 3 salarios;todo em escola publica;A
5820;38.0;M;parda;entre 10 e 30 salarios;todo em escola privada;A
5821;46.8;M;branca;entre 10 e 30 salarios;todo em escola publica;A
5822;35.5;M;parda;entre 3 e 4.5 salarios;maior parte em escola privada;A
5823;44.4;M;amarela;entre 1.5 e 3 salarios;maior parte em escola privada;A
5824;36.5;M;branca;entre 10 e 30 salarios;todo em escola publica;A
5825;33.4;M;parda;entre 1.5 e 3 salarios;todo em escola publica;A
5826;38.6;M;parda;entre 3 e 4.5 salarios;maior parte em escola publica;A
5827;37.0;M;branca;entre 6 e 3 salarios;todo em escola publica;A
5828;20.1;M;preta;entre 3 e 4.5 salarios;maior parte em escola privada;A
5829;56.2;M;parda;entre 10 e 30 salarios;maior parte em escola privada;A
5830;26.1;M;branca;maior que 30 salarios;todo em escola privada;A
5831;50.6;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5832;55.7;M;branca;entre 6 e 3 salarios;maior parte em escola privada;A
5833;45.8;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5834;38.8;M;branca;menor que 1.5 salarios;todo em escola publica;A
5835;35.8;M;branca;menor que 1.5 salarios;todo em escola publica;A
5836;41.9;M;branca;menor que 1.5 salarios;todo em escola publica;A
5837;29.1;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5838;58.9;M;branca;maior que 30 salarios;todo em escola privada;A
5839;49.5;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5840;49.6;M;branca;entre 1.5 e 3 salarios;todo em escola privada;A
5841;31.2;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5842;41.3;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5843;57.5;M;branca;maior que 30 salarios;todo em escola privada;A
5844;46.8;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5845;47.6;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5846;49.0;M;parda;entre 4.5 e 6 salarios;todo em escola publica;A
5847;32.1;M;branca;menor que 1.5 salarios;todo em escola publica;A
5848;66.1;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5849;31.5;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5850;45.9;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5851;27.9;M;branca;maior que 30 salarios;todo em escola privada;A
5852;47.9;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5853;58.7;M;parda;maior que 30 salarios;todo em escola privada;A
5854;35.1;M;parda;entre 10 e 30 salarios;todo em escola privada;A
5855;60.1;M;preta;maior que 30 salarios;parte no brasil e parte no exterior;A
5856;61.8;M;branca;maior que 30 salarios;todo em escola privada;A
5857;46.4;M;branca;maior que 30 salarios;todo em escola privada;A
5858;47.2;M;branca;maior que 30 salarios;todo em escola privada;A
5859;34.3;M;branca;maior que 30 salarios;todo em escola privada;A
5860;39.7;M;branca;entre 1.5 e 3 salarios;todo em escola privada;A
5861;50.0;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5862;39.1;M;preta;entre 10 e 30 salarios;todo em escola privada;A
5863;42.3;M;branca;entre 6 e 3 salarios;maior parte em escola publica;A
5864;39.3;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5865;38.2;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5866;21.1;M;branca;maior que 30 salarios;todo em escola privada;A
5867;73.0;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5868;34.5;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5869;61.1;M;branca;menor que 1.5 salarios;todo em escola privada;A
5870;47.2;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5871;32.0;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5872;43.0;M;parda;entre 1.5 e 3 salarios;todo em escola publica;A
5873;23.4;M;branca;maior que 30 salarios;todo em escola privada;A
5874;27.8;M;parda;entre 10 e 30 salarios;todo em escola privada;A
5875;46.4;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5876;15.6;M;branca;maior que 30 salarios;todo em escola privada;A
5877;64.8;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5878;62.0;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5879;40.1;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5880;56.5;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5881;37.8;M;branca;maior que 30 salarios;todo em escola privada;A
5882;42.8;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5883;37.9;M;branca;maior que 30 salarios;todo em escola privada;A
5884;60.0;M;branca;maior que 30 salarios;todo em escola privada;A
5885;29.5;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5886;61.5;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5887;59.5;M;nsr;entre 3 e 4.5 salarios;todo em escola publica;A
5888;54.5;M;branca;entre 10 e 30 salarios;todo em escola publica;A
5889;54.9;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5890;35.1;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5891;28.7;M;branca;entre 10 e 30 salarios;todo em escola publica;A
5892;35.3;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
5893;33.6;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5894;55.9;M;branca;maior que 30 salarios;todo em escola privada;A
5895;65.6;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5896;45.6;M;branca;entre 4.5 e 6 salarios;todo em escola privada;A
5897;36.5;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5898;31.5;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5899;51.2;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5900;27.8;M;parda;maior que 30 salarios;todo em escola privada;A
5901;18.5;M;branca;maior que 30 salarios;todo em escola privada;A
5902;43.2;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5903;34.5;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
5904;50.5;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5905;26.2;M;parda;entre 1.5 e 3 salarios;todo em escola publica;A
5906;57.3;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5907;17.1;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5908;35.4;M;parda;entre 4.5 e 6 salarios;todo em escola privada;A
5909;44.0;M;parda;maior que 30 salarios;todo em escola privada;A
5910;38.0;M;parda;entre 1.5 e 3 salarios;maior parte em escola privada;A
5911;44.5;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5912;50.9;M;parda;entre 6 e 3 salarios;todo em escola privada;A
5913;38.2;M;branca;maior que 30 salarios;todo em escola privada;A
5914;51.9;M;branca;maior que 30 salarios;todo em escola privada;A
5915;59.8;M;branca;maior que 30 salarios;todo em escola privada;A
5916;43.4;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5917;48.9;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5918;41.3;M;parda;entre 6 e 3 salarios;todo em escola publica;A
5919;62.5;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5920;22.5;M;branca;maior que 30 salarios;todo em escola privada;A
5921;57.1;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
5922;20.4;M;branca;maior que 30 salarios;todo em escola privada;A
5923;24.3;M;branca;entre 6 e 3 salarios;todo em escola publica;A
5924;44.6;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5925;38.2;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5926;41.9;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5927;52.1;M;branca;entre 1.5 e 3 salarios;todo em escola privada;A
5928;34.1;M;parda;entre 3 e 4.5 salarios;todo em escola privada;A
5929;28.4;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5930;38.2;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
5931;26.7;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5932;69.1;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5933;38.2;M;parda;entre 6 e 3 salarios;todo em escola publica;A
5934;65.4;M;branca;menor que 1.5 salarios;todo em escola publica;A
5935;34.6;M;parda;entre 4.5 e 6 salarios;todo em escola privada;A
5936;44.5;M;branca;maior que 30 salarios;todo em escola privada;A
5937;37.7;M;branca;menor que 1.5 salarios;todo em escola publica;A
5938;28.8;M;parda;entre 1.5 e 3 salarios;todo em escola publica;A
5939;55.7;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5940;57.5;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
5941;68.1;M;parda;entre 1.5 e 3 salarios;todo em escola privada;A
5942;42.4;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
5943;14.9;M;branca;entre 6 e 3 salarios;maior parte em escola publica;A
5944;34.6;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5945;71.1;M;branca;menor que 1.5 salarios;todo em escola publica;A
5946;38.2;M;branca;menor que 1.5 salarios;todo em escola publica;A
5947;38.5;M;branca;menor que 1.5 salarios;todo em escola publica;A
5948;33.5;M;branca;menor que 1.5 salarios;todo em escola publica;A
5949;26.2;M;branca;menor que 1.5 salarios;todo em escola publica;A
5950;53.7;M;branca;menor que 1.5 salarios;todo em escola publica;A
5951;37.6;M;branca;menor que 1.5 salarios;todo em escola publica;A
5952;52.4;M;branca;menor que 1.5 salarios;todo em escola publica;A
5953;59.1;M;branca;menor que 1.5 salarios;todo em escola publica;A
5954;25.1;M;branca;menor que 1.5 salarios;todo em escola publica;A
5955;53.3;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5956;39.2;M;branca;menor que 1.5 salarios;maior parte em escola publica;A
5957;48.6;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5958;56.0;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5959;44.7;M;branca;entre 10 e 30 salarios;maior parte em escola privada;A
5960;23.8;M;branca;menor que 1.5 salarios;todo em escola publica;A
5961;54.4;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
5962;41.4;M;parda;entre 10 e 30 salarios;todo em escola privada;A
5963;47.2;M;branca;entre 4.5 e 6 salarios;todo em escola privada;A
5964;32.4;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5965;22.1;M;parda;entre 1.5 e 3 salarios;todo em escola publica;A
5966;38.6;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5967;37.4;M;nsr;entre 1.5 e 3 salarios;todo em escola privada;A
5968;26.9;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
5969;39.3;M;amarela;entre 10 e 30 salarios;todo em escola publica;A
5970;32.6;M;preta;entre 1.5 e 3 salarios;todo em escola publica;A
5971;58.3;M;parda;menor que 1.5 salarios;todo em escola publica;A
5972;71.8;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5973;72.1;M;branca;entre 10 e 30 salarios;todo em escola publica;A
5974;59.1;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5975;50.7;M;parda;entre 4.5 e 6 salarios;maior parte em escola privada;A
5976;59.7;M;parda;entre 6 e 3 salarios;todo em escola publica;A
5977;39.3;M;preta;entre 4.5 e 6 salarios;todo em escola publica;A
5978;42.6;M;branca;entre 1.5 e 3 salarios;todo em escola privada;A
5979;38.7;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
5980;35.4;M;nsr;entre 10 e 30 salarios;parte no brasil e parte no exterior;A
5981;33.3;M;preta;entre 1.5 e 3 salarios;todo em escola publica;A
5982;65.3;M;branca;entre 10 e 30 salarios;maior parte em escola publica;A
5983;35.9;M;preta;entre 6 e 3 salarios;todo em escola privada;A
5984;24.2;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
5985;36.4;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
5986;45.0;M;parda;entre 3 e 4.5 salarios;maior parte em escola privada;A
5987;35.1;M;branca;entre 4.5 e 6 salarios;todo em escola privada;A
5988;39.3;M;branca;entre 4.5 e 6 salarios;todo em escola privada;A
5989;70.3;M;parda;entre 6 e 3 salarios;todo em escola publica;A
5990;55.8;M;branca;entre 4.5 e 6 salarios;maior parte em escola privada;A
5991;31.7;M;parda;entre 6 e 3 salarios;todo em escola privada;A
5992;37.9;M;nsr;entre 6 e 3 salarios;todo em escola publica;A
5993;40.6;M;parda;entre 1.5 e 3 salarios;todo em escola privada;A
5994;30.4;M;branca;entre 6 e 3 salarios;todo em escola privada;A
5995;53.8;M;branca;entre 6 e 3 salarios;todo em escola publica;A
5996;54.2;M;branca;entre 10 e 30 salarios;todo em escola privada;A
5997;46.8;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
5998;53.2;M;amarela;entre 4.5 e 6 salarios;maior parte em escola privada;A
5999;43.5;M;parda;entre 6 e 3 salarios;todo em escola publica;A
6000;70.6;M;branca;entre 10 e 30 salarios;todo em escola publica;A
6001;23.5;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6002;62.7;M;parda;entre 4.5 e 6 salarios;todo em escola publica;A
6003;49.9;M;parda;entre 4.5 e 6 salarios;todo em escola publica;A
6004;31.2;M;preta;entre 1.5 e 3 salarios;todo em escola publica;A
6005;44.2;M;parda;entre 10 e 30 salarios;todo em escola publica;A
6006;33.8;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
6007;55.6;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6008;64.4;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6009;58.5;M;branca;entre 10 e 30 salarios;todo em escola publica;A
6010;60.6;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6011;47.3;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6012;54.2;M;parda;entre 3 e 4.5 salarios;todo em escola privada;A
6013;37.8;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6014;55.3;M;branca;entre 6 e 3 salarios;todo em escola publica;A
6015;33.6;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
6016;37.7;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
6017;35.7;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6018;47.9;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6019;43.9;M;branca;entre 4.5 e 6 salarios;todo em escola privada;A
6020;57.3;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
6021;65.6;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6022;46.2;M;parda;entre 6 e 3 salarios;todo em escola publica;A
6023;32.6;M;branca;entre 6 e 3 salarios;todo em escola publica;A
6024;31.5;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6025;38.9;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
6026;61.1;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6027;33.9;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
6028;55.9;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6029;56.4;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6030;34.0;M;branca;entre 6 e 3 salarios;todo em escola publica;A
6031;44.7;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
6032;39.5;M;branca;entre 6 e 3 salarios;todo em escola publica;A
6033;70.5;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6034;32.5;M;parda;entre 10 e 30 salarios;todo em escola privada;A
6035;47.8;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6036;35.4;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6037;50.3;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
6038;66.3;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
6039;46.1;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
6040;54.0;M;parda;entre 10 e 30 salarios;todo em escola publica;A
6041;20.2;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
6042;49.3;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6043;60.7;M;branca;entre 4.5 e 6 salarios;todo em escola privada;A
6044;56.6;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6045;23.4;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
6046;50.1;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6047;67.1;M;nsr;entre 3 e 4.5 salarios;todo em escola publica;A
6048;44.7;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
6049;52.0;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6050;41.2;M;parda;entre 6 e 3 salarios;todo em escola privada;A
6051;24.4;M;branca;entre 10 e 30 salarios;maior parte em escola privada;A
6052;32.8;M;branca;entre 6 e 3 salarios;todo em escola publica;A
6053;53.6;M;parda;entre 10 e 30 salarios;todo em escola privada;A
6054;64.9;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6055;34.3;M;preta;entre 3 e 4.5 salarios;todo em escola publica;A
6056;30.6;M;preta;entre 1.5 e 3 salarios;todo em escola publica;A
6057;48.1;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6058;47.5;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6059;47.4;M;branca;entre 1.5 e 3 salarios;todo em escola privada;A
6060;45.2;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
6061;37.1;M;branca;entre 3 e 4.5 salarios;maior parte em escola privada;A
6062;36.8;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6063;46.4;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6064;36.6;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
6065;34.3;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6066;24.3;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
6067;81.5;M;branca;entre 10 e 30 salarios;todo em escola publica;A
6068;39.2;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
6069;31.0;M;preta;entre 1.5 e 3 salarios;todo em escola publica;A
6070;43.0;M;parda;entre 3 e 4.5 salarios;todo em escola publica;A
6071;20.4;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
6072;53.7;M;parda;entre 1.5 e 3 salarios;todo em escola publica;A
6073;46.1;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
6074;57.1;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6075;66.3;M;branca;entre 6 e 3 salarios;todo em escola publica;A
6076;52.2;M;parda;entre 6 e 3 salarios;todo em escola publica;A
6077;37.8;M;nsr;entre 6 e 3 salarios;todo em escola publica;A
6078;32.8;M;branca;maior que 30 salarios;todo em escola privada;A
6079;57.7;M;branca;entre 10 e 30 salarios;todo em escola publica;A
6080;38.2;M;parda;entre 4.5 e 6 salarios;todo em escola privada;A
6081;31.2;M;preta;entre 3 e 4.5 salarios;todo em escola publica;A
6082;49.7;M;branca;entre 10 e 30 salarios;maior parte em escola publica;A
6083;29.9;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6084;32.3;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
6085;55.8;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
6086;32.8;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
6087;30.3;M;preta;entre 4.5 e 6 salarios;todo em escola publica;A
6088;19.3;M;branca;entre 3 e 4.5 salarios;todo em escola privada;A
6089;21.2;M;branca;entre 10 e 30 salarios;todo em escola publica;A
6090;38.4;M;branca;entre 6 e 3 salarios;todo em escola publica;A
6091;59.2;M;branca;entre 6 e 3 salarios;todo em escola privada;A
6092;34.0;M;parda;entre 4.5 e 6 salarios;todo em escola publica;A
6093;43.4;M;branca;entre 10 e 30 salarios;todo em escola publica;A
6094;27.2;M;branca;entre 1.5 e 3 salarios;todo em escola publica;A
6095;49.9;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
6096;26.3;M;parda;entre 6 e 3 salarios;todo em escola publica;A
6097;31.6;M;branca;entre 6 e 3 salarios;maior parte em escola publica;A
6098;42.8;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
6099;41.1;M;branca;entre 3 e 4.5 salarios;todo em escola publica;A
6100;24.8;M;branca;entre 6 e 3 salarios;todo em escola publica;A
6101;37.6;M;branca;entre 3 e 4.5 salarios;maior parte em escola publica;A
6102;39.3;M;parda;entre 4.5 e 6 salarios;todo em escola publica;A
6103;42.2;M;parda;entre 4.5 e 6 salarios;todo em escola publica;A
6104;25.8;M;branca;entre 4.5 e 6 salarios;todo em escola publica;A
6105;24.2;M;branca;maior que 30 salarios;todo em escola privada;A
6106;25.0;M;branca;entre 10 e 30 salarios;todo em escola privada;A
6107;37.5;M;branca;menor que 1.5 salarios;todo em escola publica;A
6108;51.8;M;branca;menor que 1.5 salarios;todo em escola publica;A
6109;41.1;M;parda;entre 10 e 30 salarios;todo em escola privada;A
6110;39.4;M;branca;entre 1.5 e 3 salarios;todo em escola privada;A
6111;38.4;M;parda;entre 4.5 e 6 salarios;todo em escola publica;A
6112;54.3;M;branca;entre 4.5 e 6 salarios;maior parte em escola privada;A
