;notas_gerais;sexo;cor;renda;colegio_do_ensino_medio;familiar_ensino_superior
566;49.0;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
567;58.0;F;parda;entre 10 e 30 salarios;todo em escola privada;A
568;47.1;F;parda;menor que 1.5 salarios;todo em escola publica;A
569;32.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
570;40.8;F;preta;entre 3 e 4.5 salarios;todo em escola publica;A
571;21.1;F;parda;entre 6 e 3 salarios;todo em escola publica;A
572;21.8;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
573;16.3;F;branca;menor que 1.5 salarios;todo em escola publica;A
574;42.1;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
575;20.0;F;parda;entre 6 e 3 salarios;todo em escola privada;A
576;23.8;F;parda;menor que 1.5 salarios;todo em escola publica;A
577;55.3;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
578;27.8;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
579;56.4;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
580;39.3;F;preta;entre 3 e 4.5 salarios;todo em escola publica;A
581;40.2;F;branca;maior que 30 salarios;todo em escola privada;A
582;29.5;F;parda;menor que 1.5 salarios;todo em escola publica;A
583;47.4;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
584;41.6;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
585;34.7;F;preta;menor que 1.5 salarios;todo em escola publica;A
586;40.4;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
587;41.3;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
588;28.1;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
589;18.5;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
590;20.9;F;parda;menor que 1.5 salarios;todo em escola publica;A
591;23.5;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
592;23.0;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
593;29.1;F;branca;menor que 1.5 salarios;todo em escola publica;A
594;46.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
595;26.3;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
596;49.4;F;branca;entre 6 e 3 salarios;todo em escola privada;A
597;38.7;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
598;31.9;F;branca;menor que 1.5 salarios;todo em escola publica;A
599;32.9;F;amarela;menor que 1.5 salarios;maior parte em escola privada;A
600;39.1;F;branca;maior que 30 salarios;todo em escola privada;A
601;41.0;F;branca;entre 6 e 3 salarios;todo em escola privada;A
602;27.4;F;branca;entre 10 e 30 salarios;todo em escola privada;A
603;48.5;F;preta;entre 6 e 3 salarios;todo em escola privada;A
604;24.5;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
605;26.8;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
606;36.9;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
607;56.1;F;branca;entre 6 e 3 salarios;todo em escola privada;A
608;56.7;F;branca;entre 6 e 3 salarios;todo em escola privada;A
609;45.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
610;43.8;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
611;50.3;F;parda;entre 6 e 3 salarios;todo em escola publica;A
612;35.6;F;nsr;entre 3 e 4.5 salarios;todo em escola privada;A
613;53.6;F;amarela;entre 1.5 e 3 salarios;todo em escola publica;A
614;31.7;F;branca;entre 6 e 3 salarios;todo em escola publica;A
616;46.3;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
617;28.9;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
618;46.6;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
619;37.9;F;parda;menor que 1.5 salarios;todo em escola publica;A
620;47.1;F;branca;entre 6 e 3 salarios;todo em escola publica;A
621;30.8;F;preta;entre 3 e 4.5 salarios;todo em escola publica;A
622;78.6;F;nsr;entre 6 e 3 salarios;todo em escola publica;A
623;50.6;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
624;42.4;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
625;46.4;F;branca;entre 6 e 3 salarios;maior parte em escola privada;A
626;34.6;F;preta;entre 4.5 e 6 salarios;maior parte em escola privada;A
627;40.7;F;branca;entre 10 e 30 salarios;todo em escola privada;A
628;32.2;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
629;25.1;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
630;29.9;F;preta;entre 1.5 e 3 salarios;todo em escola publica;A
631;42.8;F;parda;entre 4.5 e 6 salarios;maior parte em escola privada;A
632;33.3;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
640;0.0;F;branca;menor que 1.5 salarios;todo em escola publica;A
641;46.4;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
642;31.6;F;nsr;entre 1.5 e 3 salarios;todo em escola privada;A
643;34.4;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
644;32.4;F;branca;entre 10 e 30 salarios;todo em escola publica;A
645;35.3;F;preta;entre 6 e 3 salarios;todo em escola privada;A
646;46.7;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
647;27.7;F;branca;entre 3 e 4.5 salarios;todo em escola publica;A
648;5.1;F;branca;entre 10 e 30 salarios;todo em escola publica;A
649;45.2;F;branca;entre 6 e 3 salarios;todo em escola privada;A
650;39.1;F;branca;entre 6 e 3 salarios;todo em escola privada;A
651;40.0;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
652;57.7;F;branca;entre 10 e 30 salarios;todo em escola privada;A
653;35.4;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
654;15.8;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
655;39.9;F;branca;entre 10 e 30 salarios;todo em escola publica;A
656;31.8;F;branca;entre 6 e 3 salarios;todo em escola publica;A
657;32.4;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
658;36.6;F;amarela;entre 3 e 4.5 salarios;maior parte em escola privada;A
659;33.5;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
660;34.4;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
661;39.4;F;parda;menor que 1.5 salarios;todo em escola publica;A
662;38.0;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
663;38.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
664;31.9;F;branca;entre 10 e 30 salarios;todo em escola privada;A
665;34.4;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
666;27.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
667;33.2;F;branca;entre 6 e 3 salarios;todo em escola publica;A
668;20.5;F;branca;entre 10 e 30 salarios;todo em escola privada;A
669;13.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
670;18.3;F;branca;menor que 1.5 salarios;todo em escola publica;A
671;39.8;F;branca;menor que 1.5 salarios;todo em escola publica;A
672;34.0;F;branca;menor que 1.5 salarios;todo em escola publica;A
673;27.2;F;branca;menor que 1.5 salarios;todo em escola publica;A
674;35.1;F;branca;menor que 1.5 salarios;todo em escola privada;A
675;58.9;F;branca;entre 6 e 3 salarios;todo em escola publica;A
676;26.4;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
677;24.7;F;parda;menor que 1.5 salarios;todo em escola publica;A
678;31.0;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
679;26.2;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
680;41.4;F;parda;maior que 30 salarios;todo em escola privada;A
681;45.7;F;preta;menor que 1.5 salarios;todo em escola privada;A
682;42.0;F;branca;entre 10 e 30 salarios;todo em escola privada;A
683;51.8;F;branca;maior que 30 salarios;todo em escola privada;A
684;21.4;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
685;37.2;F;parda;entre 10 e 30 salarios;todo em escola privada;A
686;32.6;F;branca;maior que 30 salarios;todo em escola privada;A
687;42.1;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
688;37.8;F;preta;entre 6 e 3 salarios;todo em escola privada;A
689;35.5;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
690;29.8;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
691;31.3;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
692;48.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
693;28.1;F;parda;entre 6 e 3 salarios;todo em escola privada;A
694;36.9;F;branca;entre 6 e 3 salarios;todo em escola privada;A
695;36.8;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
696;31.8;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
697;60.7;F;branca;maior que 30 salarios;todo em escola privada;A
698;13.2;F;branca;menor que 1.5 salarios;todo em escola publica;A
699;73.9;F;branca;maior que 30 salarios;todo em escola privada;A
700;37.4;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
701;74.3;F;branca;maior que 30 salarios;parte no brasil e parte no exterior;A
702;46.5;F;branca;maior que 30 salarios;todo em escola privada;A
703;46.8;F;nsr;entre 10 e 30 salarios;todo em escola privada;A
704;48.1;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
705;62.8;F;branca;maior que 30 salarios;todo em escola privada;A
706;24.3;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
707;40.4;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
708;54.3;F;branca;entre 4.5 e 6 salarios;todo em escola publica;A
709;47.8;F;branca;entre 10 e 30 salarios;todo em escola privada;A
710;64.2;F;branca;maior que 30 salarios;todo em escola privada;A
711;27.2;F;parda;entre 4.5 e 6 salarios;todo em escola privada;A
712;35.6;F;preta;entre 4.5 e 6 salarios;todo em escola publica;A
713;23.3;F;preta;entre 6 e 3 salarios;todo em escola publica;A
714;19.3;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
715;30.4;F;parda;menor que 1.5 salarios;todo em escola publica;A
716;24.2;F;amarela;maior que 30 salarios;todo em escola privada;A
717;44.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
718;24.9;F;preta;entre 6 e 3 salarios;todo em escola privada;A
719;17.6;F;branca;menor que 1.5 salarios;todo em escola publica;A
720;25.3;F;parda;entre 6 e 3 salarios;todo em escola publica;A
721;14.0;F;parda;entre 1.5 e 3 salarios;maior parte em escola publica;A
722;28.8;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
723;23.1;F;amarela;menor que 1.5 salarios;todo em escola publica;A
724;21.8;F;branca;entre 1.5 e 3 salarios;maior parte em escola publica;A
725;30.3;F;parda;menor que 1.5 salarios;todo em escola publica;A
726;51.9;F;branca;entre 10 e 30 salarios;todo em escola privada;A
727;53.3;F;branca;entre 6 e 3 salarios;todo em escola publica;A
728;34.7;F;branca;maior que 30 salarios;todo em escola privada;A
729;49.9;F;branca;entre 3 e 4.5 salarios;todo em escola privada;A
730;38.4;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
731;21.8;F;branca;entre 4.5 e 6 salarios;todo em escola privada;A
732;39.2;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
733;43.1;F;parda;menor que 1.5 salarios;todo em escola privada;A
734;43.5;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
735;47.6;F;parda;entre 3 e 4.5 salarios;todo em escola publica;A
736;36.5;F;parda;entre 6 e 3 salarios;todo em escola privada;A
737;21.1;F;branca;entre 6 e 3 salarios;todo em escola privada;A
738;38.8;F;parda;menor que 1.5 salarios;todo em escola publica;A
739;61.4;F;branca;maior que 30 salarios;todo em escola privada;A
740;39.9;F;parda;entre 1.5 e 3 salarios;maior parte em escola publica;A
741;30.0;F;preta;menor que 1.5 salarios;todo em escola publica;A
742;35.0;F;preta;menor que 1.5 salarios;todo em escola publica;A
743;22.0;F;parda;entre 6 e 3 salarios;todo em escola publica;A
744;19.3;F;parda;menor que 1.5 salarios;todo em escola publica;A
745;28.8;F;preta;entre 6 e 3 salarios;todo em escola publica;A
746;44.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
747;37.3;F;branca;entre 10 e 30 salarios;todo em escola privada;A
748;43.9;F;branca;maior que 30 salarios;todo em escola privada;A
749;69.3;F;branca;entre 10 e 30 salarios;todo em escola privada;A
750;53.7;F;amarela;entre 6 e 3 salarios;todo em escola privada;A
751;61.1;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
752;45.2;F;amarela;entre 10 e 30 salarios;todo em escola privada;A
753;46.1;F;branca;entre 10 e 30 salarios;todo em escola privada;A
754;66.6;F;branca;entre 10 e 30 salarios;todo em escola privada;A
755;56.0;F;nsr;maior que 30 salarios;todo em escola privada;A
756;55.0;F;branca;maior que 30 salarios;todo em escola privada;A
757;61.8;F;branca;entre 10 e 30 salarios;todo em escola publica;A
758;32.9;F;branca;maior que 30 salarios;todo em escola privada;A
759;43.1;F;branca;entre 1.5 e 3 salarios;todo em escola publica;A
760;44.3;F;parda;entre 4.5 e 6 salarios;todo em escola publica;A
761;39.0;F;parda;entre 3 e 4.5 salarios;todo em escola privada;A
762;38.1;F;branca;entre 6 e 3 salarios;todo em escola privada;A
763;40.6;F;branca;entre 6 e 3 salarios;todo em escola privada;A
764;50.9;F;parda;entre 10 e 30 salarios;todo em escola publica;A
765;28.0;F;preta;menor que 1.5 salarios;todo em escola publica;A
766;26.6;F;parda;entre 1.5 e 3 salarios;todo em escola privada;A
767;36.4;F;branca;entre 1.5 e 3 salarios;todo em escola privada;A
768;28.9;F;parda;entre 1.5 e 3 salarios;todo em escola publica;A
